"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"801","10285236.668916015",119,"86430.56024299172","108551.5610868171","0","11970","47294","129212.73828125","598980"
"851","179398832.9017273",1069,"167819.30112416024","513403.56272199744","0","19890","60000","150000","10662606.4"
"143","28133.07",6,"4688.845","5075.283448375076","720","1240.3425","2186.61","7492.5","12853.8"
"226","156000",1,"156000","NaN","156000","156000","156000","156000","156000"
"635","135105663.62913087",671,"201349.7222490773","439792.6132628624","0","25000","94000","199000","4837542"
"721","12527571.659960937",23,"544677.0286939538","1420276.4742891479","4498.7998046875","47339.095703125","73900","235073.6","5235000"
"431","280535",3,"93511.66666666667","145052.7202720905","8750","9767.5","10785","135892.5","261000"
"728","611082.62",6,"101847.10333333333","43265.79381386717","59850","64050","94416.31","142458.155","150000"
"347","47789373.66921875",33,"1448162.8384611742","7451270.06494415","7980","28076","58500","140320","42931608"
"336","369083263.65163225",5786,"63789.01895119811","220533.55600818546","0","1068.614989013672","6381","41943.25","6501000"
"652","15160755.32953125",55,"275650.09690056817","362734.34876209183","0","55968.36578125","141167.78","284464.9175","1613417"
"724","70546793.15718749",123,"573551.1638795731","1552721.3864851757","900","28316.64","69714.7421875","170789.236875","8250000"
"762","422272.5",2,"211136.25","259983.7180058109","27300","119218.125","211136.25","303054.375","394972.5"
"242","3183616.4850000003",18,"176867.58250000002","173077.86605033724","2690.87","47562","97066.4","319273.125","553294.29"
"345","62708430.42796875",35,"1791669.440799107","8856145.321078448","8308","63999.5","90000","137322","52440000"
"505","52164647.03661621",298,"175049.1511295846","756151.4526440405","0","20088.009765625","56290.69","141679","11424530.88"
"487","16169135.685917968",123,"131456.38769039","177498.58816427508","0","32874.5","90260.22","158070.6665625","1413208.125"
