"cpv_prefix","count"
"45","2692"
"33","1904"
"15","826"
"90","433"
"60","376"
"50","322"
"79","262"
"09","230"
"30","216"
"66","214"
"55","140"
"44","140"
"39","122"
"71","108"
"34","106"
"03","104"
"24","101"
"98","92"
"72","84"
"63","76"
"85","66"
"92","65"
"77","65"
"64","58"
"18","57"
"80","55"
"22","50"
"31","36"
"19","27"
"65","27"
"48","25"
"42","23"
"14","22"
"32","20"
"35","19"
"38","17"
"75","13"
"51","7"
"37","6"
"70","3"
"16","2"
"73","2"
"76","1"
